codigo,nit_proveedor,iva_compra,nombre_producto,precio_compra,precio_venta
827961154,339,4.18,Martinique,941.834,696.8266
529660787,300,15.331,"Congo, The Democratic Republic of the",436.534,43.8503
67880186,277,11.806,Mexico,853.87,602.7378
655071830,19,14.535,Reunion,725.048,939.8553
338684519,806,10.709,Slovakia,42.405,47.591
423855812,754,7.168,Japan,755.207,621.6877
599701778,419,4.497,French Polynesia,493.368,249.8047
479716133,191,5.784,Monaco,722.674,569.2085
618795146,1,8.937,Sweden,11.059,170.6303
931596082,131,7.216,Ukraine,587.472,659.5636
606713919,280,5.812,French Polynesia,221.193,159.4543
444188599,316,7.876,Puerto Rico,189.406,991.4703
680609830,224,13.756,Estonia,231.425,35.5059
93803020,759,12.425,Thailand,820.92,760.1737
360425433,455,12.236,"Lao People""S Democratic Republic",557.92,168.8767
954378926,409,8.531,Israel,975.056,528.0805
38502040,303,13.517,Bangladesh,952.285,451.2768
970977749,976,15.349,New Caledonia,695.112,526.235
623953916,579,14.512,Kuwait,80.196,930.7454
93724194,963,14.01,Jordan,686.404,301.0807
569841510,63,10.091,Cook Islands,604.027,490.7762
805271362,336,3.606,France,766.007,817.4188
852832438,925,11.866,Montserrat,410.713,256.0077
664343038,656,11.765,Singapore,817.213,172.8591
164105275,619,11.541,Guadeloupe,214.809,270.0004
997984357,91,12.364,AndorrA,138.357,548.7632
474096208,281,8.667,"Virgin Islands, British",227.347,455.5754
237204175,512,10.187,Uzbekistan,835.554,340.4397
883439225,954,6.354,Malawi,428.798,132.432
781632822,642,12.995,Christmas Island,664.535,220.7723
727062280,291,9.177,Jamaica,963.24,800.131
762413974,279,1.774,Spain,924.056,903.1116
254957145,538,10.721,Marshall Islands,445.008,598.6189
686166156,873,12.371,Hong Kong,746.277,107.3173
685643038,909,8.392,Mayotte,901.081,877.6484
175697455,105,12.889,AndorrA,47.759,780.657
691811212,438,15.301,Portugal,299.951,345.2461
285890144,2,14.022,Greenland,736.899,699.0181
110819999,151,8.887,Germany,467.577,649.3756
266590206,727,5.594,Guatemala,700.135,821.3767
267972026,745,12.995,Oman,142.169,804.7002
993823307,364,3.098,Cayman Islands,144.283,7.1369
148438707,743,14.593,Northern Mariana Islands,359.07,176.5961
132372095,377,11.772,Belize,841.717,108.6608
587584950,394,11.225,Tuvalu,157.831,158.7183
589026574,760,11.811,Mozambique,750.13,359.0359
395726629,176,9.201,American Samoa,956.558,753.8683
376421637,351,10.857,Spain,16.08,683.206
401760079,186,3.083,Belize,440.437,687.0685
651347803,402,13.508,"Micronesia, Federated States of",9.287,726.5293
693125083,273,3.713,Suriname,311.829,557.8426
893193130,445,14.171,Cameroon,77.328,937.9037
662173648,660,6.171,Germany,510.84,495.644
195191211,396,10.062,Argentina,303.851,257.1164
894416188,870,5.121,China,587.797,196.5782
628958002,376,9.757,Holy See (Vatican City State),506.341,194.4135
395420301,131,2.717,Panama,417.268,427.0218
140657585,804,1.965,Saint Vincent and the Grenadines,507.304,824.3727
944779526,483,7.497,Saint Pierre and Miquelon,455.881,987.1882
307511280,510,4.129,Hungary,429.608,915.8604
263189429,527,5.745,Guernsey,65.506,499.0296
148956707,631,3.96,"Korea, Democratic People""S Republic of",916.507,408.9646
994093362,856,9.838,Georgia,271.938,978.1483
860887116,526,5.494,Samoa,93.527,760.2986
737588597,856,14.974,Saudi Arabia,194.228,864.5168
112731860,321,13.666,Indonesia,78.286,700.9571
626225130,478,4.634,South Africa,603.214,865.9523
430914871,473,10.571,Bahrain,95.017,575.951
139100656,406,2.129,Fiji,356.834,980.3979
776158366,643,3.125,Norway,409.037,778.0828
885955125,49,5.045,Uganda,444.343,977.3244
598311953,884,13.274,Ethiopia,233.677,290.0125
462286654,626,15.426,Argentina,965.833,667.0309
765861220,753,5.195,China,894.795,309.1164
177210733,909,10.132,Tokelau,218.872,915.6499
488643994,38,6.395,Guernsey,303.56,46.9145
768263036,760,15.603,Faroe Islands,870.918,314.5817
980586603,337,11.724,Guyana,261.219,926.0233
366600902,282,12.931,France,497.84,663.7883
575401524,142,5.051,Congo,850.81,644.6926
878832177,373,3.528,Sweden,362.698,17.1889
809003614,983,9.179,Svalbard and Jan Mayen,343.292,237.2299
307139630,55,14.657,Iraq,648.194,601.9845
819624238,578,8.226,Equatorial Guinea,48.255,129.766
139313969,464,8.691,Haiti,554.648,826.4961
288144595,303,12.616,Liechtenstein,609.319,340.9526
591575596,874,3.805,"Tanzania, United Republic of",220.358,204.9171
995427964,490,10.651,Åland Islands,65.13,947.9933
793502198,716,10.018,United States,934.798,843.5776
510641912,691,9.974,Aruba,484.765,873.4218
433601563,719,9.092,Holy See (Vatican City State),543.83,975.1461
722875132,107,4.062,Belgium,96.186,186.3583
472729412,824,9.259,French Guiana,969.753,723.7635
395523215,65,2.356,Suriname,471.972,166.1101
891838386,177,4.935,Faroe Islands,183.696,607.3683
103498006,712,4.593,Swaziland,217.105,52.3418
596648337,817,12.515,Guinea-Bissau,63.009,431.5016
234784816,863,6.397,Morocco,595.178,148.401
339545781,240,9.751,Ukraine,846.533,834.8488
27884029,550,13.941,New Zealand,43.437,669.632
241797085,620,9.952,Martinique,57.972,703.8419
713636928,573,3.461,Lesotho,235.219,896.2959
821952050,333,4.249,Indonesia,218.076,833.5885
728118971,908,8.933,Mongolia,896.469,79.5628
390691005,759,8.622,Costa Rica,548.494,886.3232
22309496,921,11.412,"Congo, The Democratic Republic of the",191.522,10.9752
938888648,397,1.784,Mayotte,417.717,416.9677
539605546,794,1.188,French Guiana,986.152,15.286
358826043,187,15.912,Niger,986.407,886.5022
344760271,207,1.262,Nigeria,476.459,963.1347
463328537,136,11.867,Trinidad and Tobago,613.009,532.455
515626386,583,12.45,Cameroon,443.935,214.0118
544907166,490,2.534,Heard Island and Mcdonald Islands,334.244,667.8561
643863003,390,11.985,Lebanon,299.706,793.4197
871349147,846,5.097,Finland,601.92,759.8897
181265393,884,8.42,Hungary,205.826,52.7008
823196340,261,5.746,Guadeloupe,666.603,538.5044
644707025,842,9.776,Kenya,269.745,684.4644
143157839,770,11.819,Northern Mariana Islands,685.69,287.6638
870981610,102,4.616,Yemen,597.283,144.6854
835167025,494,1.348,"Korea, Republic of",921.647,10.5835
494672039,835,6.423,Ghana,410.257,605.758
318176669,705,7.884,Italy,247.931,330.574
511280538,320,9.048,Portugal,444.686,297.0179
85789186,560,5.281,Australia,467.085,13.7813
879568528,946,12.446,Guam,325.522,71.7446
79846269,982,8.149,Anguilla,871.619,788.5376
633374069,661,5.093,Jersey,325.34,852.5594
486875565,511,11.363,Madagascar,642.26,968.9756
589134719,497,14.673,Albania,400.668,881.7692
810276135,899,7.512,"Congo, The Democratic Republic of the",560.173,878.3114
449668613,414,8.552,AndorrA,930.925,553.0843
90533028,915,1.334,Benin,57.621,732.1327
942726224,283,7.267,Tunisia,933.466,873.287
842314389,234,2.102,"Korea, Democratic People""S Republic of",225.341,88.1619
210542884,537,15.107,Bahamas,83.107,956.153
606005762,942,2.632,Bouvet Island,477.522,569.4925
688562149,74,11.851,Japan,295.354,810.7041
461332766,128,2.949,Armenia,754.683,834.6246
464862689,870,1.474,Guatemala,754.541,122.1661
124847065,264,15.347,Mauritius,6.845,384.9011
349270902,673,11.974,Belarus,672.695,229.7906
157082056,72,4.22,Georgia,794.046,900.6685
149127505,526,14.77,Guyana,679.437,258.7686
350644726,353,3.228,Serbia and Montenegro,851.274,76.2143
54512466,952,2.347,Bosnia and Herzegovina,538.237,899.7727
553530768,72,4.368,Slovenia,111.883,903.5091
407399481,629,15.394,Monaco,201.495,420.0379
218461393,867,9.47,Ecuador,756.742,371.1216
178724001,659,7.715,Kazakhstan,257.186,149.4609
156428502,68,1.789,Lebanon,346.906,569.0942
471391931,400,15.411,Kuwait,974.414,789.4716
50789857,586,11.056,French Polynesia,722.615,938.0041
2901280,742,11.127,New Zealand,200.015,484.4011
211618913,804,5.278,Iraq,335.988,272.9169
654314472,602,8.127,"Virgin Islands, British",804.875,364.8795
916255018,987,13.069,Guadeloupe,974.46,376.0978
516103765,471,13.434,Iraq,499.694,195.0872
328071564,377,1.868,El Salvador,873.693,90.1628
558432934,872,5.023,Hong Kong,934.78,910.5539
532093583,260,1.97,Gambia,223.115,762.367
177801458,527,3.411,Jersey,673.698,114.4375
78093453,70,15.378,Uzbekistan,484.995,814.6949
830241193,382,10.647,Russian Federation,758.746,851.5812
366801093,13,1.163,Saint Lucia,771.513,502.9175
384658493,906,9.372,Brunei Darussalam,752.377,99.1922
15165819,976,4.959,Turkmenistan,973.643,94.7834
118037389,830,1.915,Costa Rica,195.167,539.4254
949750866,178,7.076,Denmark,99.93,416.2196
70735356,709,2.689,"Taiwan, Province of China",245.671,258.3047
147464211,472,12.582,Bermuda,218.382,61.0403
472750506,965,3.202,Qatar,385.388,893.5773
367094179,18,14.826,Viet Nam,646.061,957.2913
179014369,542,7.563,"Virgin Islands, British",182.614,860.4204
57841764,59,3.688,Morocco,315.895,678.3648
533739610,941,4.385,Somalia,626.394,199.6909
760249891,85,5.916,Somalia,881.395,56.9696
265826443,201,4.92,Niue,500.306,615.5847
118118689,111,5.182,Libyan Arab Jamahiriya,408.296,728.1352
491709583,709,12.564,Panama,197.363,637.8046
818305227,525,11.576,Namibia,101.657,600.3202
923990972,286,10.38,Djibouti,355.124,162.6929
548042987,984,8.775,Netherlands Antilles,108.441,12.4737
174541727,345,13.292,Niger,651.197,417.8374
132869149,94,12.588,Slovenia,681.207,241.8886
687724203,763,4.723,United States,709.345,569.7246
382763677,698,3.726,United Kingdom,210.415,399.1957
792874257,60,14.104,Ukraine,841.821,511.1636
369960228,570,1.221,Benin,697.824,833.341
112944474,894,13.536,Pakistan,22.611,161.4084
853523992,740,13.519,Mongolia,710.777,360.1532
207296312,698,3.746,Croatia,651.292,149.1855
722698039,78,2.157,Malawi,833.265,848.4986
191496851,312,10.603,Puerto Rico,651.664,214.5501
428546283,37,5.087,Iceland,890.301,904.2409
298353811,767,6.893,Ukraine,659.753,359.33
373669138,350,6.832,Bermuda,737.441,646.8591
959324510,286,9.451,Hong Kong,413.388,399.0303
900367587,452,7.966,Turks and Caicos Islands,953.653,622.6893
102300404,554,2.134,Gibraltar,242.872,653.7678
824912280,506,13.578,Bosnia and Herzegovina,484.242,899.9419
187896071,456,4.266,Faroe Islands,282.727,433.4607
701902613,486,11.177,Ukraine,991.895,346.3458
761121440,597,15.482,New Caledonia,686.497,739.3105
849478251,975,5.227,Cook Islands,122.473,472.5758
711578755,612,5.175,Cuba,569.478,676.3817
982507935,283,5.552,Samoa,744.986,319.9177
851463372,592,4.255,Namibia,974.005,795.184
590430865,783,5.785,Guadeloupe,358.317,619.3528
845519353,7,12.44,United Arab Emirates,30.816,137.4575
924413969,887,8.57,United States Minor Outlying Islands,468.665,476.3022
438764596,492,13.137,Zimbabwe,395.463,535.049
967466161,586,15.281,Viet Nam,304.875,924.5753
618666940,401,2.247,Canada,856.78,154.9973
535130066,264,14.594,Belgium,584.592,983.7656
585533792,94,7.129,Kuwait,293.551,235.0201
235922421,957,4.004,Niger,789.319,630.0509
28837988,490,5.099,Lithuania,434.194,251.4644
892801605,749,9.851,Chile,858.387,583.6862
989381168,535,10.822,Gabon,845.167,11.9941
669754411,355,2.329,Anguilla,470.456,497.6285
391329347,254,10.911,Saudi Arabia,45.575,895.6386
259017215,287,8.444,Slovakia,376.177,179.6521
739906683,71,15.991,Honduras,409.845,108.8829
60902281,775,2.249,Egypt,966.771,862.3382
954018742,826,8.731,Svalbard and Jan Mayen,690.413,610.6611
614977946,937,12.305,Nepal,335.261,94.7142
881362156,269,2.908,Togo,665.534,604.4786
99329080,220,5.592,United States Minor Outlying Islands,846.36,83.5905
858856591,279,9.685,Morocco,517.238,636.4358
176419967,833,4.036,Åland Islands,152.937,521.4075
314148510,987,5.533,Colombia,196.099,581.3163
822298998,875,10.5,Armenia,552.957,698.809
38904222,828,8.075,China,451.5,944.6861
588304353,139,3.052,"Congo, The Democratic Republic of the",273.054,999.7701
392140503,644,10.877,Gabon,192.313,438.5703
467860422,276,10.396,Greenland,553.972,529.3565
911974028,493,7.817,Zimbabwe,262.452,78.743
4771430,522,9.066,Netherlands Antilles,509.456,171.9259
160599415,989,11.255,Suriname,984.906,831.3149
688915637,679,5.652,Hong Kong,871.018,592.0954
511623250,324,6.812,"Korea, Democratic People""S Republic of",881.586,38.5003
449164059,413,2.381,Uzbekistan,112.404,773.5778
718584393,258,9.676,Israel,583.782,254.2805
476717481,772,10.28,France,410.062,546.7599
251948346,70,7.666,Latvia,281.016,953.1267
497281910,823,4.395,Uruguay,284.44,484.2389
973333837,413,4.743,Guam,516.416,337.3879
565216173,632,8.076,Botswana,679.177,664.885
736663094,842,10.253,Croatia,1000.67,329.5007
433700027,519,10.917,Heard Island and Mcdonald Islands,197.151,891.9818
325343988,118,1.886,Malaysia,769.693,359.658
900758422,78,12.977,Liberia,625.679,231.4663
682903254,916,9.875,United Kingdom,631.97,984.147
359073326,400,7.214,Malaysia,257.712,293.1678
308979399,833,8.012,Guam,369.407,908.4724
171720691,572,13.992,Azerbaijan,344.406,184.3563
387596754,999,6.277,Latvia,155.253,563.4817
907860401,871,11.579,Singapore,431.27,821.5939
970349373,580,2.906,Romania,440.129,652.5657
113713768,626,1.588,Tunisia,319.258,626.0419
672360791,880,5.203,Cocos (Keeling) Islands,598.584,977.8204
531524401,766,12.991,Ecuador,755.648,106.8374
750941180,964,3.942,Jersey,962.452,564.9589
441408488,956,11.81,Brunei Darussalam,418.555,952.0532
520092980,776,8.02,Thailand,414.896,882.3287
353829497,272,1.298,Belize,987.913,900.9976
204097731,593,7.335,Ecuador,579.404,142.881
6850245,658,11.615,Central African Republic,776.721,534.4715
435959561,277,6.96,Slovenia,24.777,870.238
935089321,838,6.497,Norfolk Island,588.724,913.0575
164967219,854,14.89,Ecuador,707.506,775.4959
42062342,268,9.053,Sri Lanka,499.492,869.1093
150255758,716,1.171,Fiji,954.141,786.2432
192232945,781,8.354,Colombia,980.258,814.0394
35122302,531,13.322,Australia,432.094,658.2218
711219771,254,5.904,"Tanzania, United Republic of",176.6,40.7478
985181925,363,7.531,Hong Kong,535.488,202.3987
9402398,768,2.377,Monaco,891.91,397.3349
74816147,799,9.905,"Virgin Islands, British",839.263,819.1092
515003274,98,8.534,Belgium,864.01,529.3403
145130356,415,11.675,Romania,105.794,435.2996
245309546,751,13.334,Congo,512.979,993.59
444287504,637,1.125,Guinea-Bissau,484.425,194.195
865242209,718,8.581,French Southern Territories,902.922,981.9264
389476968,745,6.966,Solomon Islands,506.429,830.7524
561766568,615,1.824,Yemen,797.027,421.4771
236761810,574,10.665,Niger,69.213,853.2789
690911659,16,5.079,Zimbabwe,295.523,70.2864
268238336,587,2.597,Guam,638.964,313.6282
651295573,32,1.163,Afghanistan,624.631,694.6189
775367711,207,11.403,Croatia,541.196,865.4318
549241618,886,2.248,Vanuatu,288.089,760.93
297638854,232,15.704,Mexico,340.494,930.2187
500583102,515,5.063,Yemen,46.053,474.1806
130413129,795,1.972,Montserrat,134.131,965.078
650822445,64,14.298,Tuvalu,21.715,156.1072
412917878,934,2.272,Guam,714.711,11.2689
904610283,918,3.374,"Palestinian Territory, Occupied",645.118,99.5142
20406835,360,14.321,Niue,425.23,704.6204
131173641,210,11.197,Faroe Islands,822.453,264.6865
881229690,43,12.365,Marshall Islands,395.004,98.6078
507821455,239,5.726,Cameroon,739.475,361.947
852325495,319,9.505,Niue,474.797,768.8521
209447880,991,12.977,Armenia,360.737,811.8891
682759630,273,5.957,Bolivia,99.381,259.9497
571838066,722,12.409,Papua New Guinea,62.806,195.7894
706173539,517,15.825,Hong Kong,126.966,987.1689
886652612,810,2.964,Barbados,173.875,233.625
38139484,512,7.657,Turks and Caicos Islands,422.584,233.2263
617292406,176,9.717,Malawi,793.644,118.6455
858065515,941,3.697,Costa Rica,358.89,723.3289
528336208,630,4.295,Portugal,162.421,451.6013
319206685,450,2.056,Dominican Republic,185.913,820.2178
856813949,164,9.482,Philippines,515.358,148.2013
666595917,432,3.719,Anguilla,399.707,817.6107
109806434,662,2.941,Canada,866.784,322.5144
709976274,417,11.448,Heard Island and Mcdonald Islands,926.948,717.1063
836232652,58,10.791,Sudan,502.605,836.8789
650390611,866,11.992,AndorrA,88.151,105.7587
657940448,272,8.465,Qatar,541.18,235.5634
351265117,282,8.881,Ireland,583.076,231.731
295331812,999,13.819,United Kingdom,466.386,138.3643
5836805,354,7.084,Ethiopia,568.975,963.8475
170224220,78,11.123,Finland,163.301,239.8579
583213448,29,2.378,"Congo, The Democratic Republic of the",794.998,625.2342
186336911,917,6.647,Western Sahara,467.651,857.4113
766850633,138,13.772,Spain,219.708,964.5233
331555747,1,11.388,Nauru,242.418,426.179
801296386,369,10.887,Nauru,709.826,867.9447
920919633,570,8.891,Turkmenistan,295.251,736.0568
625032840,79,14.836,Morocco,898.917,194.1844
518156213,50,15.529,"Virgin Islands, British",338.578,788.0836
271937365,870,10.645,Belize,484.474,625.5737
21145593,315,10.558,Central African Republic,967.481,434.7337
919145360,321,9.528,Bulgaria,741.897,219.2868
979048564,639,10.381,Marshall Islands,721.562,351.5151
144417398,164,7.974,Saint Lucia,927.346,839.5038
621191718,446,10.212,Guam,457.21,522.565
412958684,461,13.966,Nepal,167.4,354.068
56026269,423,13.204,Madagascar,677.485,725.4969
447615508,567,1.946,Bouvet Island,871.505,511.894
263142621,43,2.702,Guinea,240.152,405.5723
244685855,101,10.043,Sudan,678.841,752.27
822970418,470,11.524,Yemen,662.44,463.4205
773389936,703,3.777,Liberia,874.959,804.8706
183721552,68,15.768,Mexico,706.755,817.7595
17279937,548,11.276,Trinidad and Tobago,670.772,607.691
803459958,326,4.353,Portugal,346.029,103.3114
883147908,39,10.34,Isle of Man,67.272,111.8245
26829863,615,2.939,Liechtenstein,513.411,935.6716
85195320,933,3.167,New Zealand,92.194,386.7106
622197757,768,1.645,"Micronesia, Federated States of",677.807,996.0084
603207005,993,13.552,Bahamas,220.238,552.1281
630139253,366,10.558,Saint Pierre and Miquelon,996.217,140.4587
338663708,64,13.312,Syrian Arab Republic,963.941,646.5683
491014891,301,4.617,Chile,436.148,276.0094
25807304,55,15.279,Cameroon,175.89,925.2931
610439017,327,14.296,Swaziland,339.353,307.8272
531651555,806,7.76,Reunion,230.777,468.9524
155602514,375,15.553,Marshall Islands,153.45,810.3615
74473469,137,14.749,Armenia,446.329,287.3258
619728389,733,3.149,Hungary,530.679,889.4013
551627835,298,6.375,Liechtenstein,12.677,831.952
196385101,522,5.755,Gabon,636.965,407.8436
180306168,10,3.79,Myanmar,557.145,980.9584
304918296,755,9.676,Ethiopia,669.675,764.5309
704177181,161,11.091,Iceland,739.512,269.5235
995606430,916,15.59,Eritrea,447.916,4.7643
554961051,682,1.461,Palau,405.911,551.6083
51651579,919,10.79,Gabon,700.403,575.0755
857570549,660,11.764,Cambodia,747.428,717.9732
346864198,507,4.224,Saint Helena,514.75,206.9752
984947373,497,13.297,Niue,654.696,709.8078
232051325,446,14.049,Mauritania,563.849,129.6144
354083697,813,8.056,Guinea-Bissau,133.868,398.3862
578316016,63,6.452,Bahamas,717.762,278.2949
329684170,513,6.459,Brazil,489.844,427.5766
750874626,444,4.108,Guernsey,207.751,972.9378
626486248,788,12.442,Austria,515.259,308.6112
397238578,61,14.209,Peru,408.01,449.9033
698249004,844,1.279,Guyana,776.308,113.0048
90528778,952,7.021,"Cote D""Ivoire",134.985,755.4852
506026331,99,13.41,Puerto Rico,143.044,36.3344
342078089,734,15.12,Guinea,666.082,572.385
482465696,407,11.645,Hong Kong,260.188,77.2157
593627355,3,7.891,Czech Republic,614.741,537.3037
99559736,274,1.9,Luxembourg,200.753,681.7287
698131647,336,8.056,Georgia,787.745,462.2913
387773632,870,8.854,Cayman Islands,790.903,556.855
937973049,150,8.889,Tonga,320.436,458.5584
50996914,493,5.382,Italy,867.339,999.2615
392628714,95,3.649,Haiti,770.205,747.5273
586916016,578,8.589,Kenya,267.355,934.883
712468750,822,4.855,Bosnia and Herzegovina,680.359,997.4817
554305626,152,12.03,Venezuela,552.197,733.589
26823443,190,13.755,Netherlands Antilles,176.303,78.2109
198027823,360,15.421,Luxembourg,703.085,528.9021
761877770,313,7.966,Antigua and Barbuda,632.979,873.1505
382242358,562,10.949,Zimbabwe,278.428,436.8126
758363121,878,4.356,Iraq,669.049,471.9855
534078987,898,5.202,Eritrea,477.326,703.6395
919694638,856,5.786,Gibraltar,364.527,232.1789
807782801,300,13.748,Colombia,82.076,548.2475
284925080,762,2.745,Maldives,829.807,37.4633
998938696,869,1.345,Guinea-Bissau,721.598,525.2124
960874453,420,9.015,Cocos (Keeling) Islands,938.616,474.5267
322586243,419,7.292,Mayotte,583.619,19.3948
816108918,329,5.436,Afghanistan,959.656,228.5314
842044522,949,6.102,Canada,827.497,404.3892
406422715,759,2.592,Gibraltar,306.852,322.6771
554775512,386,7.699,Japan,615.317,285.2485
756121769,993,5.038,Canada,59.492,372.129
887454943,674,10.072,Central African Republic,832.541,328.8316
867497975,132,5.036,Senegal,792.026,327.0627
986709893,104,10.602,Colombia,986.84,76.8377
726272420,845,3.794,Thailand,563.623,365.1218
629044954,162,4.231,Sri Lanka,442.029,761.3931
536480560,449,11.149,Swaziland,14.191,907.0509
587292898,595,7.813,Saint Lucia,271.627,585.4976
704719170,385,9.058,Fiji,402.989,329.3598
209446866,147,4.184,Antarctica,218.505,529.9827
438315327,447,11.37,Argentina,167.055,503.767
584572998,178,2.451,Jersey,445.094,145.5611
618119239,380,14.313,Bhutan,698.946,706.7723
40960919,870,14.694,Singapore,110.464,247.1927
588556479,97,6.259,Belarus,238.691,716.658
563142272,599,4.845,Serbia and Montenegro,859.893,910.8922
500971899,64,7.969,"Tanzania, United Republic of",461.15,236.3828
917834559,856,12.222,Panama,610.276,140.087
869983493,702,4.904,Lebanon,348.934,698.7279
331789535,476,2.304,Madagascar,798.26,275.736
712029653,412,9.078,Cuba,238.015,881.6749
403889981,307,9.861,Bulgaria,228.415,215.3572
217926000,829,14.787,Luxembourg,383.048,930.5235
412915923,405,13.847,Jersey,851.155,275.2072
84796573,41,12.433,Venezuela,302.423,238.0368
369079885,167,1.157,Bosnia and Herzegovina,979.389,482.5584
257476804,331,4.088,Tonga,216.833,832.5779
56457143,713,14.301,Liechtenstein,628.484,993.1923
968907941,926,8.279,Kenya,523.715,364.2987
533695843,908,3.24,Algeria,925.528,955.0728
916199403,241,4.431,Niger,897.853,767.6138
847988634,889,7.87,Congo,220.984,296.4597
774227452,321,7.609,Zimbabwe,86.974,409.4907
812150152,861,4.348,Grenada,398.975,397.602
139492077,738,4.525,Marshall Islands,228.517,521.5751
540980584,880,11.545,Bosnia and Herzegovina,394.25,724.5459
658461609,815,14.921,Mali,489.832,380.2384
755703915,185,11.364,Guam,968.163,5.5665
788659932,646,6.32,Bolivia,402.851,277.931
581610824,23,8.925,Mali,109.064,876.1022
74640115,27,4.254,Tuvalu,547.515,234.7661
619784995,715,12.913,Macao,464.349,423.4914
523347928,7,13.573,India,599.526,479.4111
130916124,288,11.105,Russian Federation,194.514,466.507
422589899,515,15.85,Slovenia,575.794,774.6842
179463428,619,3.922,American Samoa,209.855,282.7338
661875092,801,1.116,Ethiopia,72.513,861.6646
594340651,279,13.41,Guinea-Bissau,593.858,264.8733
303775124,194,7.688,Kazakhstan,879.312,489.8472
228989496,933,8.157,Sri Lanka,379.908,396.8879
254930200,881,7.561,Paraguay,999.377,663.9274
333154869,786,1.58,Sierra Leone,798.613,711.1588
880917620,939,4.6,Bolivia,181.463,944.5217
836988974,9,2.34,New Zealand,747.183,690.2167
88687151,31,9.921,Yemen,784.063,549.7965
446314675,206,8.988,Thailand,321.346,630.4738
